soz_id,sozum,atara,anlami,anahtar,turu2,gosterim_tarihi
91,aç susuz kalmak, aç susuz kalmak aç,1) yoksulluktan yaşayamayacak bir duruma gelmek; 2) yoksul bir duruma düşmek.,aç,Deyim,
92,aç tavuk kendini arpa (buğday) ambarında sanır, aç tavuk kendini arpa buğday ambarında sanır sanmak,"insanlar, yokluğunu, yoksulluğunu çektikleri şeyler için olmayacak hayaller, düşler kurar.",sanmak,Atasözü,
93,aç tokun gözüne bakmakla doymaz, aç tokun gözüne bakmakla doymaz doymak,yoksul insanla ilgilenmek ancak ona yardım etmekle olur.,doymak,Atasözü,
94,aç yanında sarpın kurcalanmaz, aç yanında sarpın kurcalanmaz kurcalanmak,"bir kimsenin yanında, onun çok duyarlı olduğu konuya değinmemek gerekir.",kurcalanmak,Atasözü,
95,aç yanından kaç, aç yanından kaç kaçmak,aç insan tehlikelidir.,kaçmak,Atasözü,
96,"aç yeri başka, acı yeri başka", aç yeri başka acı yeri başka ,insanın yüreği ne denli acıyla dolu olsa da yemek yemeyi ister.,,Atasözü,
97,"aça dokuz yorgan örtmüşler, yine uyuyamamış", aça dokuz yorgan örtmüşler yine uyuyamamış örtmek uyumak,"1) aç olan kimse, kendisine ne kadar rahatlık sağlanırsa sağlansın, dinlendirilemez. 2) bir şeye ihtiyaç duyan kimse, ancak onun giderilmesiyle rahata kavuşturulabilir.","örtmek, uyumak",Atasözü,
98,açığını kapamak (kapatmak), açığını kapamak kapatmak açık,1) eksiğinin veya küçük düşürücü durumunun anlaşılmamasını sağlamak; 2) eksiğini tamamlamak.,açık,Deyim,
99,açık ağız aç kalmaz, açık ağız aç kalmaz kalmak,"isteklerini uygun bir biçimde söylemesini bilen kimse, onları önünde sonunda elde eder.",kalmak,Atasözü,
100,açık düşmek, açık düşmek açık,1) herhangi bir sebeple bir filodan veya istenilen yerden uzakta kalmak; 2)<i> sp.</i> yağlı güreşte yenilgi sebebi olan sırtı veya yanı toprağa değmek.,açık,Deyim,
101,açık göte herkes tükürür, açık göte herkes tükürür tükürmek,"utanç verici, iğrendirici davranışları herkes ayıplar, tiksinti ile karşılar.",tükürmek,Atasözü,
102,açık kaba it değer (siyer), açık kaba it değer siyer değmek siymek,gizli kalması gereken şeyler herkese söylenirse bundan büyük zararlar doğar.,"değmek, siymek",Atasözü,
103,açık kapamak, açık kapamak açık,"bütçenin gider fazlasını, para sağlayarak ortadan kaldırmak.",açık,Deyim,
104,açık kapı bırakmak, açık kapı bırakmak açık,"gereğinde, bir konuya yeniden dönebilme imkânı bırakmak, kesip atmamak.",açık,Deyim,
105,açık vermek, açık vermek açık,"1) geliri, giderini karşılamamak; 2) gizlenmek istenen bir olayı, bir düşünceyi veya durumu elde olmayarak ortaya koymak, açıklamak.",açık,Deyim,
106,açık yaraya tuz ekilmez, açık yaraya tuz ekilmez ekilmek,"acısı henüz taze olan bir kimsenin üzüntüsü, birtakım söz ve davranışlarla artırılmamalıdır.",ekilmek,Atasözü,
107,açıklar livası olmak, açıklar livası olmak açıklar livası,<i> alay</i> işsiz ve kazançsız kalmak.,açıklar livası,Deyim,
108,açıklığa kavuşturmak, açıklığa kavuşturmak açıklık,"bir konu veya sorunu aydınlatmak, kapalılıktan kurtarmak, anlaşılır duruma getirmek.",açıklık,Deyim,
109,açıklık getirmek, açıklık getirmek açıklık,bir konu veya sorunu anlaşılır duruma getirmek.,açıklık,Deyim,
110,açıklık kazanmak, açıklık kazanmak açıklık,"bir konu aydınlanmak, anlaşılır duruma gelmek.",açıklık,Deyim,
111,açıkta kalmak (olmak), açıkta kalmak olmak açık,1) iş ve görev bulamamak; 2) yersiz yurtsuz kalmak; 3) birkaç kişinin birlikte eriştiği bir iyilikten yararlanamamak.,açık,Deyim,
112,açıktan almak, açıktan almak açıktan,1)<i> den.</i> açıktan geçmek; 2)<i> mec.</i> bir tehlikenin uzağından geçmek.,açıktan,Deyim,
113,"açılan solar, ağlayan güler", açılan solar ağlayan güler açılmak solmak ağlamak gülmek,"hiçbir durum olduğu gibi kalmaz, gün gelir tersine döner.","açılmak, solmak, ağlamak, gülmek",Atasözü,
114,açılıp saçılmak, açılıp saçılmak açılmak,1) kadın açık saçık giyinmeye başlamak; 2) kadın eskisine göre ölçüsüz davranışlarda bulunmaya başlamak.,açılmak,Deyim,
115,açın gözü ekmek teknesinde olur, açın gözü ekmek teknesinde olur olmak,"kişinin tek düşüncesi, yaşaması için gerekli olan şeyi elde etmektir.",olmak,Atasözü,
116,açın imanı olmaz, açın imanı olmaz olmak,aç olan kimseden her türlü kötülük beklenebilir.,olmak,Atasözü,
117,"açın karnı doyar, gözü doymaz", açın karnı doyar gözü doymaz karın doymak,"tutkulu olduğu konuda insan doyumsuzdur, yetinmek bilmez.","karın, doymak",Atasözü,
118,açın koynunda (karnında) ekmek durmaz (eğleşmez), açın koynunda karnında ekmek durmaz eğleşmez koyun karın durmak eğleşmek,"kazancı yetmeyen kişi, eline geçeni hemen harcar, yarını için bir şey saklayamaz.","koyun, karın, durmak, eğleşmek",Atasözü,
119,açın kursağına çörek dayanmaz, açın kursağına çörek dayanmaz kursak dayanmak,yoksulluk içinde bulunan kimsenin bir eksiği giderilse başka bir eksiği kendini gösterir.,"kursak, dayanmak",Atasözü,
120,açın uykusu gelmez, açın uykusu gelmez gelmek,"1) aç olan kimse, kendisine ne kadar rahatlık sağlanırsa sağlansın, dinlendirilemez. 2) bir şeye ihtiyaç duyan kimse, ancak onun giderilmesiyle rahata kavuşturulabilir.",gelmek,Atasözü,
121,açlığını öldürmek, açlığını öldürmek açlık,açlık duygusunu yatıştırmak:<i> 'Kaldırılmış harman yerlerinden buğday toplayıp açlığımızı öldürdük.' -</i>O. Kemal.,açlık,Deyim,
122,açlık çekmek, açlık çekmek açlık,yoksulluk içinde bulunmak.,açlık,Deyim,
123,açlık ile tokluğun arası yarım yufka, açlık ile tokluğun arası yarım yufka tokluk,"yoksul olan buna üzülmemelidir, küçücük bir şey bile en büyük ihtiyacı gidermeye yeter.",tokluk,Atasözü,
124,açlıktan gözü (gözleri) dönmek (kararmak), açlıktan gözü gözleri dönmek kararmak açlık,çok acıkmak:<i> 'Bu akşam açlıktan gözü dönmüş bir hâlde bir evin mutfağına girmişti.' -</i>S. F. Abasıyanık.,açlık,Deyim,
125,açlıktan imanı gevremek, açlıktan imanı gevremek açlık,çok acıkmak.,açlık,Deyim,
126,açlıktan nefesi kokmak, açlıktan nefesi kokmak açlık,yoksulluk içinde bulunmak.,açlık,Deyim,
127,açlıktan ölmek, açlıktan ölmek açlık,"dayanılmaz derecede acıkmak, çok acıkmak.",açlık,Deyim,
128,açlıktan ölmeyecek kadar, açlıktan ölmeyecek kadar açlık,çok az:<i> Açlıktan ölmeyecek kadar yiyor.</i>,açlık,Deyim,
129,"açma sırrını dostuna, dostunun dostu vardır o da söyler dostuna", açma sırrını dostuna dostunun dostu vardır o da söyler dostuna söylemek,bir sır en yakın dosta bile söylenmemelidir.,söylemek,Atasözü,
130,açmaza düşmek, açmaza düşmek açmaz,içinden çıkılması güç durumda kalmak.,açmaz,Deyim,
131,açmaza getirmek (düşürmek), açmaza getirmek düşürmek açmaz,"düzen, hile yapmak, bir kimseyi oyuna getirmek, zor duruma sokmak.",açmaz,Deyim,
132,"açtı ağzını, yumdu gözünü", açtı ağzını yumdu gözünü açmak ağız yummak,öfkelenerek veya kızarak ağır sözler söyledi.,"açmak, ağız, yummak",Atasözü,
133,açtırma ağzımı, açtırma ağzımı açtırmak,'kötü bir söz söylememe fırsat verme' anlamında kullanılan bir söz.,açtırmak,Deyim,
134,"açtırma kutuyu, söyletme kötüyü", açtırma kutuyu söyletme kötüyü açtırmak söyletmek,kendin hakkındaki kötü düşüncelerimi veya bildiklerimi bana söyletme.,"açtırmak, söyletmek",Atasözü,
135,ad almak, ad almak adI,1) kendisine ad verilmek; 2) ün kazanmak.,ad(I),Deyim,
136,ad çekmeye girmek, ad çekmeye girmek ad çekme,"1) kuraya tabi olmak:<i> 'Yüksek Seçim Kurulu Başkanı ve Başkan Vekili ad çekmeye girmezler.' -</i>Anayasa. 2)<i> sp.</i> oyunun başlangıcında, alan seçimi, başlama atışı veya karşılama hakkı için öncelik sağlamak amacıyla kura çekmek.",ad çekme,Deyim,
137,ad koymak, ad koymak adI,adlandırmak.,ad(I),Deyim,
138,ad takmak, ad takmak adI,"1) adlandırmak:<i> 'Çadırlarının başından ayrılmayan inatçı grevcilere öteki işçiler, çadır tutan diye ad taktı.' -</i>L. Tekin. 2) alay etmek veya övmek amacıyla lakap takmak.",ad(I),Deyim,
139,ad vermek, ad vermek adI,adlandırmak.,ad(I),Deyim,
140,ad yapmak, ad yapmak adI,"bir alanda ün kazanmak, ün almak.",ad(I),Deyim,
141,"ada bana, adayım sana", ada bana adayım sana adamak,sen bir kimse için fedakârlıkta bulunursan o da senin için fedakârlıkta bulunur.,adamak,Atasözü,
142,ada gibi, ada gibi ada,pek büyük (gemi).,ada,Deyim,
143,adak adamak, adak adamak adak,"bir dileğin gerçekleşmesi amacıyla kurban kesip yoksullara dağıtmak veya kutsal olduğuna inanılan bir güce niyette bulunmak:<i> 'Sen bana niye söylemedin? Sadaka verirdik, adak adardık.' -</i>M. Ş. Esendal.",adak,Deyim,
144,adalet dağıtmak, adalet dağıtmak adalet,kanunların saydığı hakları sahiplerine vermek.,adalet,Deyim,
145,"adam adama (gene, her zaman) gerek olur", adam adama gene her zaman gerek olur olmak,insanların birbirlerine her zaman gereksinimleri olur.,olmak,Atasözü,
146,"adam adama yük değil, can gövdeye mülk değil", adam adama yük değil can gövdeye mülk değil ,konuğumuzdan veya yanımıza bir iş için gelen kimseden yüksünmemeliyiz çünkü onlar yanımızda sürekli olarak kalmazlar.,,Atasözü,
147,"adam adamdan korkmaz, utanır", adam adamdan korkmaz utanır korkmak utanmak,"insanları ahlaklı davranmaya iten korku değil, küçük görülme duygusudur.","korkmak, utanmak",Atasözü,
148,"adam adamdır olmasa da pulu, eşek eşektir atlastan olsa çulu", adam adamdır olmasa da pulu eşek eşektir atlastan olsa çulu olmak,"insanın değeri zengin olmakla artmaz, asıl olan insanlığıdır.",olmak,Atasözü,
149,adam adamı bir kere aldatır, adam adamı bir kere aldatır aldatmak,"bir kimse başka bir kimseyi ancak bir kez aldatabilir, diğeri bir daha aldatmasına izin vermez.",aldatmak,Atasözü,
150,adam beğenmemek, adam beğenmemek adam,herkesi değersiz görmek.,adam,Deyim,
151,adam değilim, adam değilim adam,"'herhangi bir durumun gerçekleşmemesi durumunda, kendisinin insan sayılamayacağı' anlamında kullanılan bir söz.",adam,Deyim,
152,adam gibi, adam gibi adam,"1) terbiyeli, akıllı uslu; 2) adamlığa, insanlığa yaraşır yolda; 3) iyice.",adam,Deyim,
153,adam içine çıkmak, adam içine çıkmak adam,"topluluğa karışmak, insanların bulunduğu yerlere gitmek, eşe dosta gitmek.",adam,Deyim,
154,adam içine karışmak, adam içine karışmak adam,"bir topluluğa girmek, kendisine değer verilir olmak.",adam,Deyim,
155,adam kullanmak, adam kullanmak adam,1) birini çalıştırmasını bilmek; 2) birini kendi çıkarına alet etmek.,adam,Deyim,
